Gender,Split 13.1,Finish 26.2
M,1.89,3.915
M,3.421666667,7.236388889
M,2.326944444,5.368333333
M,2.761944444,5.879722222
F,2.004444444,4.146666667
F,2.8,5.756388889
F,2.408888889,5.102777778
M,3.058888889,6.03
M,1.629722222,3.402222222
M,2.475,5.278611111
F,1.864722222,3.73
M,1.811388889,3.743611111
M,2.1125,4.2225
F,3.138888889,6.475
F,2.400555556,4.713055556
M,2.106388889,5.735277778
M,1.960833333,4.15
M,2.461388889,4.920277778
F,2.883888889,6.026111111
M,1.7975,4.183333333
M,2.269444444,4.654444444
M,1.8825,4.2975
F,2.219444444,4.653611111
F,2.026111111,4.208333333
M,1.746944444,3.64
M,2.118055556,4.773055556
M,2.077777778,4.193333333
F,2.282222222,4.8625
F,2.563611111,5.778611111
M,2.025833333,4.705555556
F,1.734722222,3.540277778
F,2.2725,4.6625
M,1.805833333,3.616388889
F,2.575277778,5.536666667
M,1.906666667,4.153333333
M,1.685277778,3.568055556
F,2.795277778,5.710555556
F,2.088611111,4.438888889
M,1.948333333,4.310555556
F,1.748055556,3.504444444
M,1.839444444,3.915833333
F,2.179722222,4.441111111
F,2.594722222,5.635277778
M,1.824166667,3.653333333
M,2.086666667,4.110555556
F,2.222777778,5.295
M,2.064166667,4.420277778
M,1.833888889,3.718333333
F,2.742777778,5.836944444
M,1.933888889,3.880555556
M,1.578333333,3.150555556
F,2.055833333,4.460555556
M,1.550833333,3.691666667
M,1.674722222,3.333333333
F,2.342777778,4.6425
M,1.753333333,3.768055556
F,2.0375,4.132222222
M,1.764166667,3.660555556
M,1.665277778,3.702777778
M,2.186944444,4.427777778
F,2.520277778,5.446666667
F,2.821388889,6.221111111
M,3.099166667,6.604722222
F,2.895,6.379722222
F,2.495833333,5.258055556
M,1.966666667,4.050833333
F,2.214444444,4.963055556
M,2.329166667,4.990555556
F,1.896111111,4.236944444
F,2.775833333,5.878333333
F,2.141944444,4.223888889
F,2.545555556,6.074166667
M,1.777777778,3.578888889
F,2.112222222,4.136388889
M,2.142777778,4.523333333
